name,desc
"The Indian Garage Co Men's Cotton Regular Fit Checkered Full Sleeves Spread Collar Casual Shirt","Comfort : This light weight breathable premium Polycotton soft and smooth fabric designed to enhance comfort without compromising style. This Shirt is crafted to move seamlessly with the body, ensuring that you feel at ease throughout the day."
"Peter England Men's Everyday Solid Slim Fit Full Sleeve Formal Shirt | Cotton-Rich","Product Type: Full Sleeves Formal Shirt Gender: Men Occasion: Formal Fit: Slim Fit Sleeve: Full Sleeves"
"Levi's Men's 511 Slim Fit Mid Rise Navy Jeans","Material typeCotton.LengthStandard Length.Style Boyfriend.Closure type Button.Occasion type Casual.Care instructions Machine Wash. Country of Origin India"
"KLOSIA Women Embroidery Solid Anarkali Kurta and Pant Set with Dupatta","Elegant Design: Premium women’s kurta set with pant and dupatta, perfect for festivals, weddings, parties, and daily wear.Comfortable Fabric: Made with soft and breathable fabric for all-day comfort – ideal for office, casual outings, or special occasions.Product Material:- Viscose | Colour:- Orange & Green | Pattern :- Solid & Embroidery | Dupatta :- Chanderi Cotton | Style:- Anarkali Kurta | Sleeve Length:- 3/4 Sleeve | Bottom:- Pant Includes a coordinated Anarkali kurta, ankle-length pants, and a stunning printed dupatta, offering a complete traditional look with minimal styling effort."
"Alvami Women Anarkali Kurta and Pant Set With Dupatta","★ Kurta and Pant set With Dupatta★ Product Material :- Silk || Colour :- Maroon★ Style :- Anarkali Kurta || Sleeve Length :- 3/4 Sleeve || Bottom :- Pant★ Sizes :- S,M,L,XL,XXL (All Ragular Size Avalible)★ Item Length :- Casual || Occasion :- Casual ,Office wear ,Party ,Wedding , Ragular & Festive"
"GRECIILOOKS Women Trousers for Women | Women Trousers | Women's High-Waisted Pant | Women Trousers Pants | Korean Trousers for Women","Stylish Design: Textured trousers for women with a chic, textured finish ideal trousers for women with a casual, yet polished look.Premium Quality: our western trousers for women is made from high-quality breathable textured fabric materials for lasting durability stylish high waist trousers for a flattering silhouette.Versatile Style: Regular fit trouser for women suitable for various occasions features a high rise trousers for a modern, stylish look.Relaxed Fit: Textured blend relaxed fit trousers for ultimate comfort and ease adds a sophisticated touch to any outfit with its textured design and high-waisted style."
"LEOTUDE Women's Cotton Oversized Fit T-Shirt","Neck Style: RoundSleeve Type: Half Sleeve | Drop ShoulderClassic Round Neck half sleeve tee with stylish print which looks very decent and attractiveThis women's t-shirt is so trendy and cute, you can pair this knot side shirts with jeans and Pants to give a comfy lookMade of soft and breathable cotton blend fabric for comfort and durability"
"Boho Dress","Flowy, earthy tones for festival vibes"
"GRECIILOOKS Women High Rise High Waist Trousers Flared Korean Style Formal Pants| Elegant Workwear for Office, College & Events (Combo Pack of 2)","High Waist Design: Embrace a flattering silhouette with our high waist trouser pants for women design provides a polished look for any formal occasion.Two Pockets & Baggy fit: Practicality meets style with the addition of two slant pockets in this women trousers and this black trouser for women looks good with baggy fit type.Color Options: Whether you opt for the timeless black, the calming blue, the lively green, or the trendy pink, these high waist women trousers pants are sure to make a statement.Versatile Formal Wear: These women korean pant trousers seamlessly transition from office attire to special occasions. Pair them with a tailored blouse or a chic blazer to create a professionalism."
"TAGAS Bear Graphic Sweatshirt for Women | Trendy Oversized Pullover Sweatshirts | Soft Fleece Pullover Winterwear","Suitable for : All Season, Pattern Type: Printed, Type: Pullovers.Neckline: Round.Length: Regular, Sleeve Length: Long Sleeve (Regular).Ribbed cuffs and hem for a snug, cozy fit"